"Notes"	"County"	"County Code"	Births
	"Baldwin County, AL"	"01003"	2344
	"Calhoun County, AL"	"01015"	1400
	"Etowah County, AL"	"01055"	1214
	"Houston County, AL"	"01069"	1294
	"Jefferson County, AL"	"01073"	8792
	"Lee County, AL"	"01081"	1988
	"Madison County, AL"	"01089"	4159
	"Mobile County, AL"	"01097"	5663
	"Montgomery County, AL"	"01101"	3129
	"Morgan County, AL"	"01103"	1386
	"Shelby County, AL"	"01117"	2399
	"Tuscaloosa County, AL"	"01125"	2530
	"Unidentified Counties, AL"	"01999"	23359
	"Anchorage Borough, AK"	"02020"	4589
	"Unidentified Counties, AK"	"02999"	6693
	"Cochise County, AZ"	"04003"	1570
	"Coconino County, AZ"	"04005"	1575
	"Maricopa County, AZ"	"04013"	54736
	"Mohave County, AZ"	"04015"	1852
	"Navajo County, AZ"	"04017"	1542
	"Pima County, AZ"	"04019"	11500
	"Pinal County, AZ"	"04021"	4451
	"Yavapai County, AZ"	"04025"	1876
	"Yuma County, AZ"	"04027"	3017
	"Unidentified Counties, AZ"	"04999"	3232
	"Benton County, AR"	"05007"	3614
	"Faulkner County, AR"	"05045"	1539
	"Pulaski County, AR"	"05119"	5571
	"Saline County, AR"	"05125"	1353
	"Sebastian County, AR"	"05131"	1738
	"Washington County, AR"	"05143"	3213
	"Unidentified Counties, AR"	"05999"	21858
	"Alameda County, CA"	"06001"	19434
	"Butte County, CA"	"06007"	2442
	"Contra Costa County, CA"	"06013"	12596
	"El Dorado County, CA"	"06017"	1594
	"Fresno County, CA"	"06019"	15359
	"Humboldt County, CA"	"06023"	1441
	"Imperial County, CA"	"06025"	3168
	"Kern County, CA"	"06029"	13768
	"Kings County, CA"	"06031"	2274
	"Los Angeles County, CA"	"06037"	124641
	"Madera County, CA"	"06039"	2225
	"Marin County, CA"	"06041"	2288
	"Merced County, CA"	"06047"	4104
	"Monterey County, CA"	"06053"	6420
	"Napa County, CA"	"06055"	1457
	"Orange County, CA"	"06059"	37609
	"Placer County, CA"	"06061"	3747
	"Riverside County, CA"	"06065"	30491
	"Sacramento County, CA"	"06067"	19423
	"San Bernardino County, CA"	"06071"	30530
	"San Diego County, CA"	"06073"	43942
	"San Francisco County, CA"	"06075"	8972
	"San Joaquin County, CA"	"06077"	9983
	"San Luis Obispo County, CA"	"06079"	2668
	"San Mateo County, CA"	"06081"	9037
	"Santa Barbara County, CA"	"06083"	5673
	"Santa Clara County, CA"	"06085"	23393
	"Santa Cruz County, CA"	"06087"	2840
	"Shasta County, CA"	"06089"	2073
	"Solano County, CA"	"06095"	5131
	"Sonoma County, CA"	"06097"	5015
	"Stanislaus County, CA"	"06099"	7698
	"Tulare County, CA"	"06107"	7411
	"Ventura County, CA"	"06111"	10060
	"Yolo County, CA"	"06113"	2402
	"Unidentified Counties, CA"	"06999"	10439
	"Adams County, CO"	"08001"	6761
	"Arapahoe County, CO"	"08005"	7960
	"Boulder County, CO"	"08013"	2900
	"Denver County, CO"	"08031"	10056
	"Douglas County, CO"	"08035"	3382
	"El Paso County, CO"	"08041"	9458
	"Jefferson County, CO"	"08059"	5882
	"Larimer County, CO"	"08069"	3485
	"Mesa County, CO"	"08077"	1739
	"Pueblo County, CO"	"08101"	1794
	"Weld County, CO"	"08123"	4339
	"Unidentified Counties, CO"	"08999"	8825
	"Fairfield County, CT"	"09001"	10118
	"Hartford County, CT"	"09003"	9252
	"Litchfield County, CT"	"09005"	1445
	"Middlesex County, CT"	"09007"	1330
	"New Haven County, CT"	"09009"	8773
	"New London County, CT"	"09011"	2604
	"Tolland County, CT"	"09013"	1127
	"Windham County, CT"	"09015"	1097
	"Kent County, DE"	"10001"	2186
	"New Castle County, DE"	"10003"	6663
	"Sussex County, DE"	"10005"	2317
	"District of Columbia, DC"	"11001"	9578
	"Alachua County, FL"	"12001"	2886
	"Bay County, FL"	"12005"	2396
	"Brevard County, FL"	"12009"	5246
	"Broward County, FL"	"12011"	22311
	"Charlotte County, FL"	"12015"	1031
	"Citrus County, FL"	"12017"	1017
	"Clay County, FL"	"12019"	2228
	"Collier County, FL"	"12021"	3256
	"Duval County, FL"	"12031"	13039
	"Escambia County, FL"	"12033"	3902
	"Hernando County, FL"	"12053"	1601
	"Hillsborough County, FL"	"12057"	17568
	"Indian River County, FL"	"12061"	1246
	"Lake County, FL"	"12069"	3184
	"Lee County, FL"	"12071"	6777
	"Leon County, FL"	"12073"	3047
	"Manatee County, FL"	"12081"	3469
	"Marion County, FL"	"12083"	3584
	"Martin County, FL"	"12085"	1262
	"Miami-Dade County, FL"	"12086"	32438
	"Okaloosa County, FL"	"12091"	2830
	"Orange County, FL"	"12095"	16715
	"Osceola County, FL"	"12097"	4183
	"Palm Beach County, FL"	"12099"	14872
	"Pasco County, FL"	"12101"	5105
	"Pinellas County, FL"	"12103"	8745
	"Polk County, FL"	"12105"	7483
	"St. Johns County, FL"	"12109"	2157
	"St. Lucie County, FL"	"12111"	3099
	"Santa Rosa County, FL"	"12113"	1940
	"Sarasota County, FL"	"12115"	2907
	"Seminole County, FL"	"12117"	4555
	"Volusia County, FL"	"12127"	4939
	"Unidentified Counties, FL"	"12999"	13251
	"Bartow County, GA"	"13015"	1304
	"Bibb County, GA"	"13021"	2315
	"Carroll County, GA"	"13045"	1522
	"Chatham County, GA"	"13051"	4149
	"Cherokee County, GA"	"13057"	2642
	"Clarke County, GA"	"13059"	1376
	"Clayton County, GA"	"13063"	3804
	"Cobb County, GA"	"13067"	9658
	"Columbia County, GA"	"13073"	1662
	"Coweta County, GA"	"13077"	1586
	"DeKalb County, GA"	"13089"	11095
	"Douglas County, GA"	"13097"	1828
	"Fayette County, GA"	"13113"	866
	"Forsyth County, GA"	"13117"	2175
	"Fulton County, GA"	"13121"	13579
	"Gwinnett County, GA"	"13135"	11519
	"Hall County, GA"	"13139"	2741
	"Henry County, GA"	"13151"	2591
	"Houston County, GA"	"13153"	2033
	"Lowndes County, GA"	"13185"	1710
	"Muscogee County, GA"	"13215"	3021
	"Paulding County, GA"	"13223"	1609
	"Richmond County, GA"	"13245"	3054
	"Whitfield County, GA"	"13313"	1455
	"Unidentified Counties, GA"	"13999"	42110
	"Hawaii County, HI"	"15001"	2369
	"Honolulu County, HI"	"15003"	13265
	"Maui County, HI"	"15009"	1898
	"Unidentified Counties, HI"	"15999"	888
	"Ada County, ID"	"16001"	5126
	"Bonneville County, ID"	"16019"	1969
	"Canyon County, ID"	"16027"	3175
	"Kootenai County, ID"	"16055"	1856
	"Unidentified Counties, ID"	"16999"	10701
	"Champaign County, IL"	"17019"	2399
	"Cook County, IL"	"17031"	68848
	"DeKalb County, IL"	"17037"	1204
	"DuPage County, IL"	"17043"	10891
	"Kane County, IL"	"17089"	6688
	"Kankakee County, IL"	"17091"	1328
	"Kendall County, IL"	"17093"	1624
	"Lake County, IL"	"17097"	7718
	"LaSalle County, IL"	"17099"	1288
	"McHenry County, IL"	"17111"	3266
	"McLean County, IL"	"17113"	2129
	"Macon County, IL"	"17115"	1372
	"Madison County, IL"	"17119"	3082
	"Peoria County, IL"	"17143"	2684
	"Rock Island County, IL"	"17161"	1970
	"St. Clair County, IL"	"17163"	3422
	"Sangamon County, IL"	"17167"	2314
	"Tazewell County, IL"	"17179"	1551
	"Will County, IL"	"17197"	7803
	"Winnebago County, IL"	"17201"	3621
	"Unidentified Counties, IL"	"17999"	22914
	"Allen County, IN"	"18003"	5269
	"Clark County, IN"	"18019"	1492
	"Delaware County, IN"	"18035"	1188
	"Elkhart County, IN"	"18039"	3188
	"Hamilton County, IN"	"18057"	3867
	"Hendricks County, IN"	"18063"	1760
	"Johnson County, IN"	"18081"	1866
	"Lake County, IN"	"18089"	5925
	"La Porte County, IN"	"18091"	1337
	"Madison County, IN"	"18095"	1509
	"Marion County, IN"	"18097"	14495
	"Monroe County, IN"	"18105"	1359
	"Porter County, IN"	"18127"	1708
	"St. Joseph County, IN"	"18141"	3488
	"Tippecanoe County, IN"	"18157"	2387
	"Vanderburgh County, IN"	"18163"	2223
	"Vigo County, IN"	"18167"	1283
	"Unidentified Counties, IN"	"18999"	29696
	"Black Hawk County, IA"	"19013"	1781
	"Johnson County, IA"	"19103"	1805
	"Linn County, IA"	"19113"	2855
	"Polk County, IA"	"19153"	7023
	"Scott County, IA"	"19163"	2234
	"Woodbury County, IA"	"19193"	1492
	"Unidentified Counties, IA"	"19999"	22292
	"Douglas County, KS"	"20045"	1328
	"Johnson County, KS"	"20091"	7541
	"Sedgwick County, KS"	"20173"	7291
	"Shawnee County, KS"	"20177"	2276
	"Wyandotte County, KS"	"20209"	2762
	"Unidentified Counties, KS"	"20999"	17956
	"Boone County, KY"	"21015"	1670
	"Fayette County, KY"	"21067"	4044
	"Hardin County, KY"	"21093"	1447
	"Jefferson County, KY"	"21111"	10147
	"Kenton County, KY"	"21117"	2319
	"Warren County, KY"	"21227"	1665
	"Unidentified Counties, KY"	"21999"	34679
	"Ascension Parish, LA"	"22005"	1663
	"Bossier Parish, LA"	"22015"	1881
	"Caddo Parish, LA"	"22017"	3570
	"Calcasieu Parish, LA"	"22019"	2877
	"East Baton Rouge Parish, LA"	"22033"	6212
	"Jefferson Parish, LA"	"22051"	6082
	"Lafayette Parish, LA"	"22055"	3505
	"Livingston Parish, LA"	"22063"	1905
	"Orleans Parish, LA"	"22071"	5068
	"Ouachita Parish, LA"	"22073"	2266
	"Rapides Parish, LA"	"22079"	1822
	"St. Tammany Parish, LA"	"22103"	3013
	"Tangipahoa Parish, LA"	"22105"	1986
	"Terrebonne Parish, LA"	"22109"	1760
	"Unidentified Counties, LA"	"22999"	21082
	"Androscoggin County, ME"	"23001"	1267
	"Cumberland County, ME"	"23005"	2722
	"Kennebec County, ME"	"23011"	1208
	"Penobscot County, ME"	"23019"	1429
	"York County, ME"	"23031"	1894
	"Unidentified Counties, ME"	"23999"	4087
	"Anne Arundel County, MD"	"24003"	6936
	"Baltimore County, MD"	"24005"	9991
	"Carroll County, MD"	"24013"	1696
	"Cecil County, MD"	"24015"	1177
	"Charles County, MD"	"24017"	1846
	"Frederick County, MD"	"24021"	2824
	"Harford County, MD"	"24025"	2720
	"Howard County, MD"	"24027"	3564
	"Montgomery County, MD"	"24031"	13203
